GEO.id2,total_households,total_households_no_internet
42031160800,1559,355
42031160900,1437,301
42033330100,2016,491
42033330200,1458,407
42033330300,1837,527
42033330400,2144,196
42033330500,1716,521
42033330600,1178,374
42033330700,763,238
42033330800,2753,697
42033330900,2099,522
42033331000,2166,735
42033331100,1493,470
42033331200,1362,394
42033331300,1821,416
42033331401,1404,463
42033331402,1481,363
42033331500,753,225
42033331600,920,278
42033331700,1778,527
42033331800,1112,246
42033331900,898,308
42035030100,1268,338
42035030200,2049,440
42035030300,1600,284
42035030400,1953,391
42035030500,1670,282
42035030600,1116,248
42035030700,2229,480
42035030800,1471,381
42035030900,1319,438
42037050100,2176,484
42037050200,2218,556
42037050300,2162,448
42037050400,1613,323
42037050500,1684,421
42037050600,2135,580
42037050700,2172,657
42037050800,1633,403
42037050900,1297,206
42037051000,1144,199
42037051100,1429,291
42037051200,2107,329
42037051300,1352,350
42037051400,1068,211
42037051500,2374,615
42039110100,2089,814
42039110201,1519,301
42039110202,1496,390
42039110300,1709,426
42039110400,1228,246
42039110501,813,163
42039110502,1768,313
42039110600,1266,181
42039110700,1529,242
42039110800,1953,416
42039110900,1221,345
42039111000,1051,227
42039111100,1285,286
42039111200,988,230
42039111300,2247,433
42039111400,1949,253
42039111500,2229,548
42039111600,1894,647
42039111700,1381,183
42039111800,2406,427
42039111900,1341,377
42039112001,1106,294
42039112002,634,179
42041010100,2312,538
42041010201,2229,280
42041010203,1572,261
42041010204,2047,179
42041010300,2024,274
42041010400,1482,115
42041010500,1712,166
42041010600,2132,405
42041010700,1735,184
42041010800,1809,393
42041010900,2050,181
42041011002,1113,266
42041011101,1468,168
42041011102,2359,492
42041011200,653,74
42041011301,1925,135
42041011302,2884,95
42041011303,2497,262
42041011304,2460,483
42041011305,2047,214
42041011400,2174,385
42041011500,2027,283
42041011601,3882,536
42041011602,1390,95
42041011605,2022,123
42041011700,2341,293
42041011801,3652,562
42041011802,2976,280
42041011803,2538,471
42041011901,2141,323
42041011902,2475,501
42041012000,2074,226
42041012100,1014,227
42041012200,963,208
42041012300,697,302
42041012400,2727,402
42041012501,1839,443
42041012502,2819,349
42041012600,2328,460
42041012701,1948,218
42041012702,1624,371
42041012800,3196,701
42041012900,545,122
42041013000,2651,582
42041013101,3857,738
42041013102,1224,196
42041013200,2253,498
42041981001,0,0
42041981606,32,0
42043020100,2066,722
42043020300,1017,226
42043020400,1062,306
42043020500,1535,226
42043020600,486,123
42043020700,909,355
42043020800,1228,381
42043020900,1481,259
42043021100,1143,523
42043021200,799,184
42043021300,1801,635
42043021400,1863,594
42043021500,1406,225
42043021600,1066,242
42043021700,2326,436
42043021800,931,116
42043021901,2069,444
42043021903,1485,169
42043021904,2204,237
42043022000,2267,466
42043022100,1939,496
42043022200,1227,273
42043022300,2554,600
42043022401,1682,137
42043022403,2848,555
42043022501,2360,236
42043022502,2233,203
42043022601,2873,415
42043022604,2554,158
42043022605,1947,152
42043022606,1637,245
42043022701,1674,365
42043022702,1867,202
42043022800,2129,318
42043022900,2565,584
42043023000,808,139
42043023100,653,95
42043023300,1454,279
42043023400,646,165
42043023500,1089,250
42043023601,1150,158
42043023602,2355,238
42043023700,761,245
42043023800,1891,393
42043023900,1317,368
42043024001,2642,451
42043024002,1087,94
42043024101,947,113
42043024102,1370,235
42043024104,2420,127
42043024105,2281,106
42043024200,1161,216
42043024300,1610,323
42043024400,2052,244
42043024502,2195,274
42043024503,2667,212
42043024600,4040,494
42043024700,2453,311
42043024800,3289,762
42043024900,971,286
42043025000,1201,369
42043025100,1287,456
42043025200,1469,302
42043025300,1764,337
42043025400,1226,361
42045400301,2061,505
42045400302,1256,266
42045400401,1878,525
42045400402,1705,365
42045400500,1431,273
42045400600,1779,303
42045400700,1701,281
42045400801,1045,231
42045400802,1252,146
42045400900,576,40
42045401000,662,44
42045401101,1151,100
42045401103,1114,71
42045401104,1583,155
42045401200,1421,257
42045401301,1118,205
42045401302,1129,92
42045401401,832,93
42045401402,1640,315
42045401501,1341,114
42045401502,1818,286
42045401600,721,110
42045401700,879,142
42045401800,1491,190
42045401900,1840,325
42045402000,1083,330
42045402100,2110,483
42045402200,812,133
42045402300,1433,341
42045402400,1072,278
42045402500,1150,375
42045402600,996,195
42045402700,823,266
42045402800,2169,384
42045402900,1393,357
42045403001,1208,175
42045403002,1120,197
42045403101,1382,313
42045403103,1012,278
42045403104,947,215
42045403200,1736,251
42045403300,2582,352
42045403401,1050,106
42045403402,1263,138
42045403501,1702,316
42045403502,1133,152
42045403601,1386,125
42045403602,614,76
42045403701,642,106
42045403702,849,134
42045403800,2574,453
42045403901,1440,241
42045403902,1317,158
42045404003,1031,184
42045404004,2430,293
42045404101,2537,312
42045404102,1906,432
42045404103,1338,291
42045404300,801,105
42045404400,614,209
42045404500,1856,602
42045404600,784,178
42045404700,935,398
42045404800,645,189
42045404900,388,150
42045405000,701,229
42045405100,861,268
42045405200,1329,436
42045405300,941,275
42045405400,908,272
42045406100,764,95
42045406201,1273,236
42045406202,2129,259
42045406300,1238,319
42045406401,982,135
42045406402,588,143
42045406500,521,85
42045406600,866,237
42045406700,1160,149
42045406801,1710,280
42045406802,1587,219
42045406803,3490,496
42045406902,2267,367
42045406903,1891,141
42045406904,2047,200
42045407000,1040,48
42045407101,1632,151
42045407102,1164,81
42045407201,1899,458
42045407202,1392,369
42045407401,1433,45
42045407404,1080,87
42045407501,1067,145
42045407502,1573,206
42045407600,1915,128
42045407700,1119,193
42045407801,1594,170
42045407802,2087,112
42045407803,1927,63
42045407804,1542,112
42045407805,553,65
42045407806,624,61
42045407901,1367,39
42045407902,1216,109
42045407903,1482,142
42045408001,2266,328
42045408002,1567,93
42045408101,1767,184
42045408102,1261,210
42045408103,1605,225
42045408300,1275,150
42045408400,831,131
42045408500,1548,135
42045408600,1287,100
42045408700,1717,122
42045408800,2034,168
42045408900,1075,93
42045409000,1332,105
42045409100,1485,155
42045409200,1457,195
42045409300,880,46
42045409400,977,75
42045409500,1695,311
42045409601,1782,172
42045409602,1515,151
42045409701,1878,83
42045409702,151,0
42045409802,1496,154
42045409803,2735,226
42045409902,2145,303
42045409903,1520,191
42045409904,1306,75
42045410000,1614,136
42045410100,2314,24
42045410200,1479,107
42045410301,2149,143
42045410302,4028,614
42045410400,3147,233
42045410500,1443,295
42045410601,1306,177
42045410602,1778,196
42045410700,1540,571
42045410800,2839,240
42045980000,0,0
42047950100,663,170
42047950200,1329,285
42047950400,1876,404
42047950500,1059,288
42047950900,948,215
42047951000,2022,393
42047951100,2427,531
42047951200,884,203
42047951300,2239,419
42049000100,1201,712
42049000200,1940,486
42049000300,1489,310
42049000400,1012,264
42049000500,1285,365
42049000600,1567,360
42049000700,978,339
42049000800,899,311
42049000900,2061,549
42049001000,1574,311
42049001100,1153,282
42049001200,882,340
42049001300,617,179
42049001400,513,175
42049001500,951,222
42049001600,1688,379
42049001700,991,222
42049001800,794,226
42049001900,901,389
42049002000,1282,303
42049002100,1714,328
42049002200,1675,238
42049002300,1175,243
42049002400,1325,161
42049002500,996,181
42049002600,1532,326
42049002700,2939,629
42049002800,2206,365
42049002900,1265,218
42049003000,1902,341
42049010101,1333,233
42049010103,723,205
42049010104,896,161
42049010107,664,155
42049010201,2432,571
42049010202,2153,354
42049010301,1911,323
42049010303,2052,276
42049010304,1704,163
42049010400,1986,151
42049010500,1970,446
42049010700,1661,250
42049010800,1468,284
42049010902,1842,321
